%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1311878194338155262,0,1311878194338155262,map,-0.0,0.0,0.0,0.0,0.0,0.0,1.0
1311878194374269995,1,1311878194374269995,map,0.000767877582968,0.000165345122624,-0.000171245216885,-0.000103112521942,-3.66732622755e-05,-0.000108937893758,0.999999992549
1311878194406573521,2,1311878194406573521,map,0.000481585011343,0.000237396575749,-0.000309494385306,-7.14387034991e-05,-6.1950985596e-05,-0.00015210722858,0.999999985099
1311878194439904505,3,1311878194439904505,map,-0.00048124901764,8.49654209223e-07,0.000163536686435,-6.24322674412e-05,5.68239320273e-05,-4.90247725793e-06,1.0
1311878194474341092,4,1311878194474341092,map,0.000490583134295,4.24309042001e-05,-0.000223737164471,-0.000111369450519,-5.04457082811e-05,-9.11107431355e-05,0.999999985099
1311878194506276027,5,1311878194506276027,map,0.00045097014657,-8.08082497509e-05,-0.000512332222446,-4.76406064813e-05,-0.000161575417812,-2.95711201802e-05,0.999999985099
1311878194538257210,6,1311878194538257210,map,0.000563153217073,0.000277007708627,-1.16641393854e-05,-1.52354930375e-05,-1.27008531382e-05,-0.000142394283405,0.999999985099
1311878194574202488,7,1311878194574202488,map,0.000348407232815,-3.26848185417e-05,-0.000110348498329,-2.86880440399e-05,-4.26379519922e-05,-5.21770271007e-05,1.0
1311878194606200774,8,1311878194606200774,map,0.000631444830468,3.24103324436e-05,9.07665637609e-05,-0.000137665917019,1.00257237396e-05,-0.000170410324776,0.999999970198
1311878194638183720,9,1311878194638183720,map,-8.28805718897e-05,5.73828186628e-05,0.000297653010929,-5.56910707245e-05,4.93105450149e-05,-0.000219887776625,0.999999970198
1311878194674335098,10,1311878194674335098,map,0.000394521309925,-0.000411416136365,-0.00099406679335,-0.000414790874096,-0.000105833659841,-0.000302545344868,0.99999986589
1311878194706671278,11,1311878194706671278,map,0.000714543950091,-0.000256774307622,-0.000607683186832,-0.000302273841436,5.55971637912e-05,-0.000941787378177,0.999999508262
1311878194738262056,12,1311878194738262056,map,2.15300541116e-05,-0.000184227933683,3.98225179172e-05,-0.000100378693651,2.63956490028e-05,-0.00105075380723,0.999999448657
